munid,regiao,uf,municipio,latitude,longitude
5212808,Centro-Oeste,GO,Mara Rosa,-14.008569,-49.179823
5212907,Centro-Oeste,GO,Marzagão,-17.981610,-48.637174
5212956,Centro-Oeste,GO,Matrinchã,-15.437188,-50.746474
5213004,Centro-Oeste,GO,Maurilândia,-17.972083,-50.338911
5213053,Centro-Oeste,GO,Mimoso de Goiás,-15.059293,-48.163273
5213087,Centro-Oeste,GO,Minaçu,-13.535094,-48.223908
5213103,Centro-Oeste,GO,Mineiros,-17.566168,-52.554667
5213400,Centro-Oeste,GO,Moiporá,-16.546900,-50.736098
5213509,Centro-Oeste,GO,Monte Alegre de Goiás,-13.257326,-46.885799
5213707,Centro-Oeste,GO,Montes Claros de Goiás,-16.004760,-51.400499
5213756,Centro-Oeste,GO,Montividiu,-17.444462,-51.175145
5213772,Centro-Oeste,GO,Montividiu do Norte,-13.353094,-48.688822
5213806,Centro-Oeste,GO,Morrinhos,-17.735271,-49.110177
5213855,Centro-Oeste,GO,Morro Agudo de Goiás,-15.312198,-50.057447
5213905,Centro-Oeste,GO,Mossâmedes,-16.119654,-50.218050
5214002,Centro-Oeste,GO,Mozarlândia,-14.747589,-50.570214
5214051,Centro-Oeste,GO,Mundo Novo,-13.765577,-50.285688
5214101,Centro-Oeste,GO,Mutunópolis,-13.723611,-49.274445
5214408,Centro-Oeste,GO,Nazário,-16.580528,-49.881988
5214507,Centro-Oeste,GO,Nerópolis,-16.404044,-49.224463
5214606,Centro-Oeste,GO,Niquelândia,-14.469110,-48.458585
5214705,Centro-Oeste,GO,Nova América,-15.018386,-49.899315
5214804,Centro-Oeste,GO,Nova Aurora,-18.065102,-48.260458
5214838,Centro-Oeste,GO,Nova Crixás,-14.095611,-50.342000
5214861,Centro-Oeste,GO,Nova Glória,-15.149277,-49.578785
5214879,Centro-Oeste,GO,Nova Iguaçu de Goiás,-14.283477,-49.390770
5214903,Centro-Oeste,GO,Nova Roma,-13.742906,-46.890326
5215009,Centro-Oeste,GO,Nova Veneza,-16.365233,-49.310898
5215207,Centro-Oeste,GO,Novo Brasil,-16.032671,-50.716314
5215256,Centro-Oeste,GO,Novo Planalto,-13.240952,-49.512050
5215306,Centro-Oeste,GO,Orizona,-17.034766,-48.302148
5215405,Centro-Oeste,GO,Ouro Verde de Goiás,-16.210828,-49.203868
5215504,Centro-Oeste,GO,Ouvidor,-18.225569,-47.832604
5215603,Centro-Oeste,GO,Padre Bernardo,-15.164355,-48.285966
5215652,Centro-Oeste,GO,Palestina de Goiás,-16.741432,-51.530032
5215702,Centro-Oeste,GO,Palmeiras de Goiás,-16.806988,-49.922787
5215801,Centro-Oeste,GO,Palmelo,-17.323017,-48.423096
5215900,Centro-Oeste,GO,Palminópolis,-16.799135,-50.165494
5216007,Centro-Oeste,GO,Panamá,-18.182455,-49.353482
5216304,Centro-Oeste,GO,Paranaiguara,-18.905160,-50.652204
5216403,Centro-Oeste,GO,Paraúna,-16.946697,-50.457641
5216452,Centro-Oeste,GO,Perolândia,-17.526454,-52.066577
5216809,Centro-Oeste,GO,Petrolina de Goiás,-16.097418,-49.338798
5216908,Centro-Oeste,GO,Pilar de Goiás,-14.766090,-49.575114
5217104,Centro-Oeste,GO,Piracanjuba,-17.301810,-49.024560
5217203,Centro-Oeste,GO,Piranhas,-16.420706,-51.821801
5217302,Centro-Oeste,GO,Pirenópolis,-15.853342,-48.962527
5217401,Centro-Oeste,GO,Pires do Rio,-17.300581,-48.280293
5217609,Centro-Oeste,GO,Planaltina,-15.453110,-47.614847
5217708,Centro-Oeste,GO,Pontalina,-17.514984,-49.448181
5218003,Centro-Oeste,GO,Porangatu,-13.442186,-49.146226
5218052,Centro-Oeste,GO,Porteirão,-17.815401,-50.164250
5218102,Centro-Oeste,GO,Portelândia,-17.352924,-52.680684
5218300,Centro-Oeste,GO,Posse,-14.087734,-46.362010
5218391,Centro-Oeste,GO,Professor Jamil,-17.247567,-49.236697
5218508,Centro-Oeste,GO,Quirinópolis,-18.451507,-50.452263
5218607,Centro-Oeste,GO,Rialma,-15.315404,-49.584370
5218706,Centro-Oeste,GO,Rianápolis,-15.442467,-49.510117
5218789,Centro-Oeste,GO,Rio Quente,-17.767746,-48.772668
5218805,Centro-Oeste,GO,Rio Verde,-17.794543,-50.929681
5218904,Centro-Oeste,GO,Rubiataba,-15.164313,-49.803410
5219001,Centro-Oeste,GO,Sanclerlândia,-16.200663,-50.315867
5219100,Centro-Oeste,GO,Santa Bárbara de Goiás,-16.577476,-49.689783
5219209,Centro-Oeste,GO,Santa Cruz de Goiás,-17.321553,-48.476690
5219258,Centro-Oeste,GO,Santa Fé de Goiás,-15.770785,-51.109416
5219308,Centro-Oeste,GO,Santa Helena de Goiás,-17.812355,-50.598443
5219357,Centro-Oeste,GO,Santa Isabel,-15.302398,-49.428178
5219407,Centro-Oeste,GO,Santa Rita do Araguaia,-17.326351,-53.205147
5219456,Centro-Oeste,GO,Santa Rita do Novo Destino,-15.135391,-49.120126
5219506,Centro-Oeste,GO,Santa Rosa de Goiás,-16.079891,-49.491579
5219605,Centro-Oeste,GO,Santa Tereza de Goiás,-13.712551,-49.014997
5219704,Centro-Oeste,GO,Santa Terezinha de Goiás,-14.433476,-49.706202
5219712,Centro-Oeste,GO,Santo Antônio da Barra,-17.556108,-50.634054
5219738,Centro-Oeste,GO,Santo Antônio de Goiás,-16.483121,-49.310243
5219753,Centro-Oeste,GO,Santo Antônio do Descoberto,-15.944224,-48.256006
5219803,Centro-Oeste,GO,São Domingos,-13.402013,-46.315105
5219902,Centro-Oeste,GO,São Francisco de Goiás,-15.922706,-49.262009
5220009,Centro-Oeste,GO,São João d Aliança,-14.708216,-47.518802
5220058,Centro-Oeste,GO,São João da Paraúna,-16.814524,-50.405063
5220108,Centro-Oeste,GO,São Luís de Montes Belos,-16.519810,-50.374288
5220157,Centro-Oeste,GO,São Luíz do Norte,-14.862079,-49.331936
5220207,Centro-Oeste,GO,São Miguel do Araguaia,-13.276024,-50.163838
5220264,Centro-Oeste,GO,São Miguel do Passa Quatro,-17.050934,-48.664718
5220280,Centro-Oeste,GO,São Patrício,-15.352490,-49.816346
5220405,Centro-Oeste,GO,São Simão,-18.989739,-50.549700
5220454,Centro-Oeste,GO,Senador Canedo,-16.718575,-49.087967
5220504,Centro-Oeste,GO,Serranópolis,-18.307724,-51.957778
5220603,Centro-Oeste,GO,Silvânia,-16.664617,-48.610570
5220686,Centro-Oeste,GO,Simolândia,-14.470323,-46.484284
5220702,Centro-Oeste,GO,Sítio d Abadia,-14.803994,-46.252490
5221007,Centro-Oeste,GO,Taquaral de Goiás,-16.050019,-49.602219
5221080,Centro-Oeste,GO,Teresina de Goiás,-13.776863,-47.263520
5221197,Centro-Oeste,GO,Terezópolis de Goiás,-16.478960,-49.091785
5221304,Centro-Oeste,GO,Três Ranchos,-18.360799,-47.779339
5221403,Centro-Oeste,GO,Trindade,-16.655350,-49.489099
5221452,Centro-Oeste,GO,Trombas,-13.508468,-48.744709
5221502,Centro-Oeste,GO,Turvânia,-16.609804,-50.131953
5221551,Centro-Oeste,GO,Turvelândia,-17.850952,-50.307479
5221577,Centro-Oeste,GO,Uirapuru,-14.288654,-49.921075
5221601,Centro-Oeste,GO,Uruaçu,-14.520220,-49.147486
5221700,Centro-Oeste,GO,Uruana,-15.501165,-49.679481
5221809,Centro-Oeste,GO,Urutaí,-17.459753,-48.204653
5221858,Centro-Oeste,GO,Valparaíso de Goiás,-16.069575,-47.984111
5221908,Centro-Oeste,GO,Varjão,-17.041225,-49.628167
5222005,Centro-Oeste,GO,Vianópolis,-16.742081,-48.513471
5222054,Centro-Oeste,GO,Vicentinópolis,-17.732662,-49.807239
5222203,Centro-Oeste,GO,Vila Boa,-15.034889,-47.057361
5222302,Centro-Oeste,GO,Vila Propício,-15.454635,-48.882422
5000203,Centro-Oeste,MS,Água Clara,-20.448851,-52.875118
5000252,Centro-Oeste,MS,Alcinópolis,-18.325034,-53.708090
5000609,Centro-Oeste,MS,Amambaí,-23.100582,-55.243828
5000708,Centro-Oeste,MS,Anastácio,-20.482360,-55.804571
5000807,Centro-Oeste,MS,Anaurilândia,-22.182650,-52.718169
5000856,Centro-Oeste,MS,Angélica,-22.156063,-53.769730
5000906,Centro-Oeste,MS,Antônio João,-22.194685,-55.948082
5001003,Centro-Oeste,MS,Aparecida do Taboado,-20.085022,-51.097638
5001102,Centro-Oeste,MS,Aquidauana,-20.474654,-55.790616
5001243,Centro-Oeste,MS,Aral Moreira,-22.947881,-55.630761
5001508,Centro-Oeste,MS,Bandeirantes,-19.920920,-54.363194
5001904,Centro-Oeste,MS,Bataguassu,-21.715288,-52.425437
5002001,Centro-Oeste,MS,Batayporã,-22.295880,-53.274807
5002100,Centro-Oeste,MS,Bela Vista,-22.115976,-56.531315
5002159,Centro-Oeste,MS,Bodoquena,-20.554843,-56.673567
5002209,Centro-Oeste,MS,Bonito,-21.124341,-56.492859
5002308,Centro-Oeste,MS,Brasilândia,-21.247118,-52.036297
5002407,Centro-Oeste,MS,Caarapó,-22.636582,-54.826970
5002605,Centro-Oeste,MS,Camapuã,-19.535260,-54.043309
5002704,Centro-Oeste,MS,Campo Grande,-20.458030,-54.615744
5002803,Centro-Oeste,MS,Caracol,-22.012738,-57.025939
5002902,Centro-Oeste,MS,Cassilândia,-19.109407,-51.731577
5002951,Centro-Oeste,MS,Chapadão do Sul,-18.797773,-52.626356
5003108,Centro-Oeste,MS,Corguinho,-19.831218,-54.830006
5003157,Centro-Oeste,MS,Coronel Sapucaia,-23.276445,-55.541328
5003207,Centro-Oeste,MS,Corumbá,-19.006375,-57.648985
5003256,Centro-Oeste,MS,Costa Rica,-18.543548,-53.133047
5003306,Centro-Oeste,MS,Coxim,-18.508411,-54.758056
5003454,Centro-Oeste,MS,Deodápolis,-22.272949,-54.161183
5003488,Centro-Oeste,MS,Dois Irmãos do Buriti,-20.692312,-55.281914
5003504,Centro-Oeste,MS,Douradina,-22.045530,-54.607931
5003702,Centro-Oeste,MS,Dourados,-22.227236,-54.811289
5003751,Centro-Oeste,MS,Eldorado,-23.774054,-54.280028
5003801,Centro-Oeste,MS,Fátima do Sul,-22.375423,-54.516376
5003900,Centro-Oeste,MS,Figueirão,-18.675448,-53.642573
5004007,Centro-Oeste,MS,Glória de Dourados,-22.414425,-54.234629
5004106,Centro-Oeste,MS,Guia Lopes da Laguna,-21.452459,-56.108153
5004304,Centro-Oeste,MS,Iguatemi,-23.661902,-54.558601
5004403,Centro-Oeste,MS,Inocência,-19.725458,-51.927679
5004502,Centro-Oeste,MS,Itaporã,-22.082448,-54.795659
5004601,Centro-Oeste,MS,Itaquiraí,-23.490663,-54.188198
5004700,Centro-Oeste,MS,Ivinhema,-22.301604,-53.826970
5004809,Centro-Oeste,MS,Japorã,-23.894067,-54.403485
5004908,Centro-Oeste,MS,Jaraguari,-20.103740,-54.440684
5005004,Centro-Oeste,MS,Jardim,-21.479603,-56.145845
5005103,Centro-Oeste,MS,Jateí,-22.481687,-54.308054
5005152,Centro-Oeste,MS,Juti,-22.862472,-54.601323
5005202,Centro-Oeste,MS,Ladário,-19.001776,-57.602400
5005251,Centro-Oeste,MS,Laguna Carapã,-22.550582,-55.150108
5005400,Centro-Oeste,MS,Maracaju,-21.623610,-55.157140
5005608,Centro-Oeste,MS,Miranda,-20.239333,-56.390198
5005681,Centro-Oeste,MS,Mundo Novo,-23.935274,-54.281661
5005707,Centro-Oeste,MS,Naviraí,-23.059999,-54.198836
5005806,Centro-Oeste,MS,Nioaque,-21.158152,-55.833890
5006002,Centro-Oeste,MS,Nova Alvorada do Sul,-21.466634,-54.382804
5006200,Centro-Oeste,MS,Nova Andradina,-22.248759,-53.351574
5006259,Centro-Oeste,MS,Novo Horizonte do Sul,-22.654953,-53.860887
5006309,Centro-Oeste,MS,Paranaíba,-19.677372,-51.188708
5006358,Centro-Oeste,MS,Paranhos,-23.896870,-55.433030
5006408,Centro-Oeste,MS,Pedro Gomes,-18.101856,-54.552446
5006606,Centro-Oeste,MS,Ponta Porã,-22.486187,-55.710850
5006903,Centro-Oeste,MS,Porto Murtinho,-21.707325,-57.888482
5007109,Centro-Oeste,MS,Ribas do Rio Pardo,-20.443676,-53.761678
5007208,Centro-Oeste,MS,Rio Brilhante,-21.801195,-54.542242
5007307,Centro-Oeste,MS,Rio Negro,-19.447429,-54.987502
